	FacilityID	LookupSetID	PDOPPSLRSComplete	LRSVariable	AnswerValue	AnswerText	LowNormalRaw	HighNormalRaw	Comment	OtherUnit	country	LDOExtract
0	118000.0	38.0	1.0	b'$KGL'	b'1'	b'kg'					b'Thailand'	b'N/A'
1	118000.0	100.0	1.0	b'CaTotalUnit'	b'1'	b'mg/dL'	b'8.5'	b'10.5'			b'Thailand'	b'N/A'
2	118000.0	103.0	1.0	b'TotalProteinUnit'	b'2'	b'g/dL'	b'6'	b'8.2'			b'Thailand'	b'N/A'
3	118000.0	104.0	1.0	b'AlbuminUnit'	b'2'	b'g/dL'	b'3.8'	b'5'			b'Thailand'	b'N/A'
4	118000.0	110.0	1.0	b'HgbUnit'	b'2'	b'g/dL'	b'12'	b'15'			b'Thailand'	b'N/A'
5	118000.0	111.0	1.0	b'HctUnit'	b'1'	b'%'	b'36'	b'45'			b'Thailand'	b'N/A'
6	118000.0	112.0	1.0	b'MCVUnit'	b'1'	b'fL'	b'80'	b'100'			b'Thailand'	b'N/A'
7	118000.0	113.0	1.0	b'WhBldCntUnit'	b'4'	b'Other'	b'4.5'	b'11'		b'10^3/ul'	b'Thailand'	b'N/A'
8	118000.0	114.0	1.0	b'NeutrophilsUnit'	b'3'	b'%'	b'40'	b'70.9'			b'Thailand'	b'N/A'
9	118000.0	115.0	1.0	b'LymphUnit'	b'3'	b'%'	b'22.2'	b'43.6'			b'Thailand'	b'N/A'
10	118000.0	117.0	1.0	b'BUNUnit'	b'1'	b'mg/dL'	b'5'	b'20'			b'Thailand'	b'N/A'
11	118000.0	118.0	1.0	b'UreaUnit'							b'Thailand'	b'N/A'
12	118000.0	119.0	1.0	b'SodiumUnit'	b'1'	b'mEq/L'	b'135'	b'150'			b'Thailand'	b'N/A'
13	118000.0	120.0	1.0	b'PotassUnit'	b'1'	b'mEq/L'	b'3.5'	b'5'			b'Thailand'	b'N/A'
14	118000.0	122.0	1.0	b'BicarbUnit'	b'1'	b'mEq/L'	b'20'	b'30'			b'Thailand'	b'N/A'
15	118000.0	123.0	1.0	b'GlycoHgbUnit'	b'1'	b'%'	b'4'	b'6'			b'Thailand'	b'N/A'
16	118000.0	126.0	1.0	b'AlkPhosphUnit'	b'1'	b'U/L'	b'40'	b'120'			b'Thailand'	b'N/A'
17	118000.0	212.0	1.0	b'AlkPhosphBoneUnit'							b'Thailand'	b'N/A'
18	118000.0	213.0	1.0	b'MagnesiumUnit'	b'2'	b'mg/dL'	b'1.7'	b'2.8'			b'Thailand'	b'N/A'
19	118000.0	215.0	1.0	b'InterleukinUnit'							b'Thailand'	b'N/A'
20	118000.0	267.0	1.0	b'VDUnit1'	b'1'	b'ng/mL'	b'30'	b'100'			b'Thailand'	b'N/A'
21	118000.0	268.0	1.0	b'VDUnit2'							b'Thailand'	b'N/A'
22	118000.0	269.0	1.0	b'$FASTGlc'							b'Thailand'	b'N/A'
23	118000.0	270.0	1.0	b'PLTUnit'	b'9'	b'Other'	b'150'	b'450'		b'10^3/ul'	b'Thailand'	b'N/A'
24	118000.0	271.0	1.0	b'CHrUnit'	b'1'	b'pg'	b'25'	b'35'			b'Thailand'	b'N/A'
25	118000.0	272.0	1.0	b'pRBCUnit'	b'1'	b'%'	b'1'	b'2'			b'Thailand'	b'N/A'
26	118000.0	273.0	1.0	b'FBNGUnit'							b'Thailand'	b'N/A'
27	118000.0	274.0	1.0	b'BNPUnit'							b'Thailand'	b'N/A'
28	118000.0	275.0	1.0	b'pBNPUnit'							b'Thailand'	b'N/A'
29	118000.0	276.0	1.0	b'TrpTUnit'							b'Thailand'	b'N/A'
30	118000.0	277.0	1.0	b'TrpIUnit'							b'Thailand'	b'N/A'
31	118000.0	280.0	1.0	b'CreatUnit'	b'1'	b'mg/dL'	b'0.5'	b'1.2'			b'Thailand'	b'N/A'
32	118000.0	281.0	1.0	b'$CATyp'							b'Thailand'	b'N/A'
33	118000.0	282.0	1.0	b'PhosphUnit'	b'1'	b'mg/dL'	b'2.5'	b'4.8'			b'Thailand'	b'N/A'
34	118000.0	283.0	1.0	b'PTHUnit'							b'Thailand'	b'N/A'
35	118000.0	284.0	1.0	b'UricAcidUnit'	b'1'	b'mg/dL'	b'2'	b'7'			b'Thailand'	b'N/A'
36	118000.0	285.0	1.0	b'GlucoseUnit'	b'1'	b'mg/dL'	b'60'	b'110'			b'Thailand'	b'N/A'
37	118000.0	286.0	1.0	b'TotCholUnit'	b'1'	b'mg/dL'	b'120'	b'200'			b'Thailand'	b'N/A'
38	118000.0	287.0	1.0	b'HDLCholUnit'	b'1'	b'mg/dL'	b'35'	b'75'			b'Thailand'	b'N/A'
39	118000.0	288.0	1.0	b'LDLCholUnit'	b'1'	b'mg/dL'	b'60'	b'130'			b'Thailand'	b'N/A'
40	118000.0	289.0	1.0	b'TriglycUnit'	b'1'	b'mg/dL'	b'45'	b'150'			b'Thailand'	b'N/A'
41	118000.0	290.0	1.0	b'SerumIronUnit'	b'1'	b'\xb5g/dL'	b'37'	b'145'			b'Thailand'	b'N/A'
42	118000.0	291.0	1.0	b'TIBCUnit'	b'1'	b'\xb5g/dL'	b'228'	b'428'			b'Thailand'	b'N/A'
43	118000.0	292.0	1.0	b'FerritinUnit'	b'6'	b'ng/mL'	b'13'	b'150'			b'Thailand'	b'N/A'
44	118000.0	293.0	1.0	b'CRPUnit'	b'2'	b'mg/L'	b'<5'				b'Thailand'	b'N/A'
45	118000.0	307.0	1.0	b'eGFRUnit'	b'1'	b'mL/min/1.73m^2'					b'Thailand'	b'N/A'
46	118000.0	318.0	1.0	b'$FASTLpd'							b'Thailand'	b'N/A'
47	118000.0	332.0	1.0	b'Beta2MicroglobUnit'	b'3'	b'Other'	b'700'	b'1800'		b'ug/L'	b'Thailand'	b'N/A'
48	118000.0	360.0	1.0	b'FGF23 Units'							b'Thailand'	b'N/A'
49	118000.0	371.0	1.0	b'Glycosylated Albumin'							b'Thailand'	b'N/A'
50	118000.0	372.0	1.0	b'PTH Assay'							b'Thailand'	b'N/A'
51	118000.0	400.0	1.0	b'$qCystat'							b'Thailand'	b'N/A'
52	118000.0	402.0	1.0	b'qAST'	b'1'	b'U/L'	b'0'	b'40'			b'Thailand'	b'N/A'
53	118000.0	404.0	1.0	b'$qALT'	b'1'	b'U/L'	b'5'	b'35'			b'Thailand'	b'N/A'
54	118000.0	405.0	1.0	b'$qBilirubin'	b'3'	b'mg/dL'	b'0.20'	b'1.20'			b'Thailand'	b'N/A'
55	118000.0	458.0	1.0	b'$UrineVolUnit'	b'1'	b'mL/24 hr'					b'Thailand'	b'N/A'
56	118000.0	461.0	1.0	b'$UrineCreat24Unit'	b'7'	b'mg/dL'					b'Thailand'	b'N/A'
57	118000.0	505.0	1.0	b'$GlucoseUnit'							b'Thailand'	b'N/A'
58	118000.0	514.0	1.0	b'$HUnit'	b'0'	b'mg/L'					b'Thailand'	b'N/A'
59	118000.0	540.0	1.0	b'$SerumUrea'	b'1'	b'mg/dL'	b'5'	b'20'			b'Thailand'	b'N/A'
60	118000.0	625.0	1.0	b'CreatConUnit'	b'3'	b'mg/dL'					b'Thailand'	b'N/A'
61	118000.0	626.0	1.0	b'DialyCreatCon4HrUnit'							b'Thailand'	b'N/A'
62	118000.0	627.0	1.0	b'DialyCreatCorr4HrUnit'							b'Thailand'	b'N/A'
63	118000.0	628.0	1.0	b'InitDialyGlucConUnit'							b'Thailand'	b'N/A'
64	118000.0	629.0	1.0	b'DialyGlucCon4HrUnit'							b'Thailand'	b'N/A'
65	118000.0	793.0	1.0	b'DialGlucoseCon'							b'Thailand'	b'N/A'
66	118000.0	794.0	1.0	b'DialCreatCon'							b'Thailand'	b'N/A'
67	118000.0	795.0	1.0	b'DialCreatConGlucCor'							b'Thailand'	b'N/A'
68	118000.0	796.0	1.0	b'SerumAlbConc'							b'Thailand'	b'N/A'
69	118000.0	1949.0	1.0	b'PTH-iPTHUnit'	b'1'	b'pg/mL'	b'15'	b'65'			b'Thailand'	b'N/A'
70	118000.0	1950.0	1.0	b'PTH-C-PTHUnit'							b'Thailand'	b'N/A'
71	118000.0	1951.0	1.0	b'PTH-HS-PTHUnit'							b'Thailand'	b'N/A'
72	118000.0	1952.0	1.0	b'PTH-wholePTHUnit'							b'Thailand'	b'N/A'
73	118001.0	38.0	1.0	b'$KGL'	b'1'	b'kg'					b'Thailand'	b'N/A'
74	118001.0	100.0	1.0	b'CaTotalUnit'	b'1'	b'mg/dL'	b'8.5'	b'10.1'			b'Thailand'	b'N/A'
75	118001.0	103.0	1.0	b'TotalProteinUnit'	b'2'	b'g/dL'	b'6.4'	b'8.2'			b'Thailand'	b'N/A'
76	118001.0	104.0	1.0	b'AlbuminUnit'	b'2'	b'g/dL'	b'3.8'	b'5.4'			b'Thailand'	b'N/A'
77	118001.0	110.0	1.0	b'HgbUnit'	b'2'	b'g/dL'	b'12'	b'16'			b'Thailand'	b'N/A'
78	118001.0	111.0	1.0	b'HctUnit'	b'1'	b'%'	b'36'	b'44'			b'Thailand'	b'N/A'
79	118001.0	112.0	1.0	b'MCVUnit'	b'1'	b'fL'	b'80'	b'98'			b'Thailand'	b'N/A'
80	118001.0	113.0	1.0	b'WhBldCntUnit'	b'3'	b'cells/mm^3'	b'4,500'	b'10,000'			b'Thailand'	b'N/A'
81	118001.0	114.0	1.0	b'NeutrophilsUnit'	b'3'	b'%'	b'40'	b'75'			b'Thailand'	b'N/A'
82	118001.0	115.0	1.0	b'LymphUnit'	b'3'	b'%'	b'20'	b'50'			b'Thailand'	b'N/A'
83	118001.0	117.0	1.0	b'BUNUnit'	b'1'	b'mg/dL'	b'7'	b'20'			b'Thailand'	b'N/A'
84	118001.0	118.0	1.0	b'UreaUnit'	b'1'	b'mg/dL'					b'Thailand'	b'N/A'
85	118001.0	119.0	1.0	b'SodiumUnit'	b'2'	b'mmol/L'	b'136'	b'145'			b'Thailand'	b'N/A'
86	118001.0	120.0	1.0	b'PotassUnit'	b'2'	b'mmol/L'	b'3.5'	b'4.1'			b'Thailand'	b'N/A'
87	118001.0	122.0	1.0	b'BicarbUnit'	b'2'	b'mmol/L'	b'22'	b'31'			b'Thailand'	b'N/A'
88	118001.0	123.0	1.0	b'GlycoHgbUnit'	b'1'	b'%'	b'4.5'	b'6.3'			b'Thailand'	b'N/A'
